,department,function,industry,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,minimum_salary_grp,maximum_salary_grp,company_profile_length,description_length,requirements_length,benefits_length,dominant_topic
17397,0,0,0,0,1,0,2,5,0,-1,-1,-0.7072383269683896,-0.8374340382472252,-0.23219783243203737,0.17618418756885754,27
4626,0,0,0,0,1,0,0,0,0,-1,-1,0.18586194313045318,1.2875128917487795,-0.7966753918030385,-0.533685011003553,12
13641,0,0,0,0,1,1,5,0,0,-1,-1,0.23286722050407646,-0.7437923091287573,-0.5689037450393012,0.3666368993809677,22
12755,1,1,1,0,1,1,5,3,0,-1,-1,0.26812117853429396,0.7544753567667308,0.12431431032859487,0.2454397191368976,18
7541,1,1,1,0,1,0,5,1,1,-1,-1,-1.083280545957376,-0.6933698396034284,-0.23219783243203737,-0.42980171365149294,5
1929,0,1,1,0,1,0,5,3,0,-1,-1,1.819295331863863,1.4099674605960069,0.03518627463843681,-0.533685011003553,11
2272,1,0,0,0,1,1,0,0,0,-1,-1,0.17411062378704734,0.25025066151344155,-0.06384487612840548,0.41857854805699773,29
989,1,1,1,0,1,1,5,5,12,2,2,-0.3311961079794032,-0.4124446522480243,1.1740445084571232,-0.06621017291928266,21
9790,0,1,0,0,1,1,5,1,5,-1,-1,0.45614228802878715,-0.4556639118411634,-0.6976442410361962,-0.49905724521953304,24
6402,0,1,1,0,1,1,5,0,9,-1,-1,0.05659743035298908,-0.239567613875468,-0.26190717766209004,-0.533685011003553,26
12993,0,1,1,0,0,0,5,6,9,-1,-1,-1.083280545957376,0.6032079481907441,0.06489561986848949,-0.1008379387033027,29
15554,0,0,1,0,0,0,5,0,0,-1,-1,-0.7072383269683896,0.7184593071057815,3.412148515787759,-0.533685011003553,26
9560,1,1,1,0,1,0,5,0,0,-1,-1,1.3022372807540066,0.2574538714456314,-0.7966753918030385,-0.533685011003553,9
2224,0,0,1,0,0,0,5,3,5,-1,-1,-1.083280545957376,2.612903519271711,-0.7966753918030385,-0.533685011003553,5
3612,1,0,0,0,1,0,0,0,0,-1,-1,-0.8482541590892595,0.2862667111743908,0.32237661186227945,-0.533685011003553,29
1517,0,0,0,0,0,0,5,0,0,-1,-1,-0.7072383269683896,-0.4556639118411634,-0.7966753918030385,-0.533685011003553,19
11854,1,1,1,0,1,0,5,4,1,1,0,1.6547768610561815,-0.7870115687218963,0.6788887546229116,0.626345142761118,29
10317,0,1,1,0,1,0,5,4,5,-1,-1,-0.072667082424475,0.5167694290044659,0.14412054048196332,-0.533685011003553,3
3962,0,1,1,0,1,0,5,5,7,1,3,1.8663006092374863,1.72690869761236,1.4810410758343342,0.17618418756885754,29
17627,0,0,1,0,0,0,5,0,0,-1,-1,-1.083280545957376,0.10618646286964464,-0.7966753918030385,-0.533685011003553,11
4635,0,1,1,0,1,1,5,3,1,-1,-1,0.6559147168666862,0.7760849865633004,-0.10345733643514239,0.8860533861412682,15
487,0,1,1,0,1,0,5,4,5,-1,-1,-0.072667082424475,-0.13151946489262029,0.054992504791805265,-0.533685011003553,23
7085,1,1,1,0,1,1,5,5,5,3,3,-0.4839632594436789,-0.030674525841962442,-0.07374799120508971,0.12424253889282749,0
1182,1,1,1,0,1,1,5,3,9,2,2,-0.4604606207568673,-0.31880292312955627,0.08470185002185796,-0.13546570448732273,29
306,0,1,1,0,1,0,5,4,5,-1,-1,-0.072667082424475,0.5815983183941745,0.9660790918467543,-0.533685011003553,16
388,0,0,0,0,1,1,5,0,0,-1,-1,-0.09616972111128666,0.653630417716073,-0.29161652289214274,4.885560334195581,26
12529,0,1,1,0,1,0,5,4,5,-1,-1,-0.6719843689381721,-0.8158244084506557,-0.6283224354994066,-0.533685011003553,21
13195,1,1,1,0,1,0,5,5,0,-1,-1,0.6324120781798745,-1.08234317594168,-0.024232415821668563,-0.533685011003553,28
4827,0,1,1,0,1,0,5,3,0,2,2,1.34924255812763,0.6248175779873135,-0.7966753918030385,-0.49905724521953304,11
898,0,1,1,0,1,1,5,5,9,-1,-1,0.22111590116067065,-0.05228415563853198,-0.18268225704861624,-0.533685011003553,29
4321,0,0,0,0,1,0,0,0,0,-1,-1,2.6653903245890826,-0.31880292312955627,-0.7966753918030385,-0.533685011003553,26
11378,0,0,0,0,0,0,5,0,0,-1,-1,-0.7072383269683896,-0.145925884757,1.382009925067492,-0.533685011003553,22
17283,1,1,1,0,0,0,5,5,9,0,0,-1.083280545957376,-0.3836318125192649,-0.7966753918030385,-0.533685011003553,28
15885,0,0,1,0,1,1,5,3,9,-1,-1,1.5020097095919056,-0.5204928012308719,-0.19258537212530047,-0.533685011003553,21
11033,0,1,1,0,1,0,5,0,0,-1,-1,-0.5427198561607081,0.14220251253059388,0.12431431032859487,-0.412487830759483,29
11504,0,0,0,0,1,0,0,0,0,-1,-1,0.45614228802878715,-0.5348992210952517,-0.7966753918030385,-0.533685011003553,19
15095,0,1,1,0,1,1,5,3,9,-1,-1,0.13885666575682987,0.14220251253059388,0.5303420284726482,-0.533685011003553,29
4226,0,1,1,0,1,1,5,5,9,-1,-1,-0.19018027585853325,0.07737362314088525,0.1342174254052791,-0.06621017291928266,21
16340,0,0,1,0,1,0,5,0,0,-1,-1,-0.03741312439425753,1.7989407969342586,0.20353923094206872,1.1111338637373984,29
10017,1,1,0,0,1,1,0,0,0,-1,-1,1.7722900544902396,-1.1039528057382495,3.065539488103811,-0.533685011003553,3
8164,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-1.0031078666875917,-0.6184193204227223,-0.481743362327523,25
17076,0,0,1,0,1,1,5,5,0,-1,-1,0.6089094394930629,0.552785478665415,-0.172779141971932,0.05498700732478744,14
576,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-1.0031078666875917,-0.6184193204227223,-0.481743362327523,25
10055,1,1,1,0,1,1,5,6,9,3,3,0.40913701065516384,2.0510531445609033,0.9066604013866489,1.2150171610894585,11
1476,0,0,1,0,1,1,5,4,5,-1,-1,0.5736554814628454,-0.4484607019089735,0.3124734967855952,-0.533685011003553,26
13051,0,0,0,0,0,0,5,0,0,-1,-1,-0.7072383269683896,-0.31880292312955627,-0.7966753918030385,-0.533685011003553,22
13120,0,0,1,0,1,0,5,5,0,1,1,1.3374912387842242,0.977774864664616,-0.30151963796882697,-0.533685011003553,21
6357,0,1,1,0,1,1,5,5,0,-1,-1,-0.049164443737663356,0.134999302598404,0.01538004448506835,-0.533685011003553,9
9163,0,1,1,0,1,0,5,3,9,-1,-1,0.3386290945947289,0.3366891806997197,0.01538004448506835,0.5397757283010678,6
5505,0,0,0,0,0,0,0,0,0,-1,-1,-1.083280545957376,-0.5204928012308719,-0.5788068601159854,0.7302284401131781,1
11049,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-1.0031078666875917,-0.6184193204227223,-0.481743362327523,25
1913,1,0,0,0,1,0,0,0,0,-1,-1,-0.3546987466662148,-0.7870115687218963,-0.40055078873566924,-0.412487830759483,14
12017,0,1,1,0,1,1,5,5,0,3,3,0.467893607372193,-0.9670918170266425,-0.004426185668300106,-0.533685011003553,11
6057,1,1,1,0,0,0,5,1,5,3,3,-1.083280545957376,-0.7005730495356182,0.3718921872457006,0.1588703046768475,3
17630,0,0,1,0,0,1,4,0,0,-1,-1,-1.083280545957376,-0.7581987289931369,-0.4203570188890377,-0.32591841629943286,7
8384,1,0,0,0,1,1,0,0,0,-1,-1,-0.4604606207568673,-0.05948736557072183,0.8274354807731751,0.609031259869108,27
12155,0,1,1,0,1,0,5,5,5,-1,-1,-0.6719843689381721,0.37270523036066894,0.49072956816591135,-0.39517394786747295,21
7517,0,0,0,0,1,0,0,0,0,0,0,-0.2136829145453449,-0.801417988586276,0.6293731792394905,-0.39517394786747295,28
9043,0,0,0,0,1,0,5,0,0,-1,-1,-0.2959421499491857,-0.10990983509605075,0.1045080801752264,0.31469525070493765,21
10431,0,0,1,0,1,1,5,4,9,2,1,-0.7072383269683896,-0.5348992210952517,0.07479873494517372,0.08961477310880746,21
16054,0,1,0,0,1,1,2,4,0,1,1,-0.7072383269683896,-0.7870115687218963,-0.3708414435056166,0.0030453586487573913,27
2455,1,0,0,0,1,1,5,0,0,-1,-1,0.5736554814628454,1.1434486931049825,-0.15297291181856354,-0.533685011003553,29
13018,0,1,1,0,1,1,5,4,1,-1,-1,-0.7542436043420129,0.977774864664616,0.49072956816591135,1.0072505663853384,29
9181,0,1,1,0,1,0,5,5,9,-1,-1,-0.3782013853530265,0.04135757347993602,-0.2817134078154585,-0.533685011003553,26
414,0,1,1,0,1,0,4,4,5,-1,-1,-0.072667082424475,-0.2899900834007969,0.1045080801752264,-0.533685011003553,23
3330,1,0,0,0,1,1,0,0,0,-1,-1,-0.2136829145453449,1.8133472167986382,1.7979407582882296,-0.17009347027134275,16
1147,1,1,1,0,1,1,5,3,5,-1,-1,0.09185138838320656,-0.43405428204459384,-0.19258537212530047,0.660972908545138,6
6624,0,1,1,0,1,1,5,5,9,-1,-1,0.5736554814628454,-0.1171130450282406,0.07479873494517372,-0.412487830759483,11
15131,0,1,1,0,1,1,5,3,9,-1,-1,0.8321845070177736,-0.5853216906205806,0.6095669490861221,-0.20472123605536277,26
11098,0,1,1,0,1,0,5,4,5,-1,-1,-0.072667082424475,1.0570101739187043,0.49072956816591135,-0.533685011003553,3
3474,1,1,1,0,1,0,5,5,0,-1,-1,0.6324120781798745,-0.44125749197678366,-0.19258537212530047,-0.3605461820834529,29
978,0,1,1,0,1,1,4,1,1,-1,-1,-0.08441840176788083,-0.7221826793321877,0.302570381708911,0.26275360202890763,29
11532,0,1,1,0,1,1,5,0,1,-1,-1,0.45614228802878715,-0.6501505800102892,-0.6976442410361962,-0.49905724521953304,24
5491,0,1,0,0,1,1,5,0,0,-1,-1,-0.11967235979809832,-0.145925884757,1.3622036949141234,-0.533685011003553,11
12746,0,0,0,0,0,0,0,0,0,-1,-1,-1.083280545957376,0.9273523951392871,-0.7966753918030385,-0.533685011003553,26
14613,0,1,1,0,1,1,3,4,9,-1,-1,-0.9657673525233178,-0.988701446823212,-0.5887099751926697,-0.481743362327523,25
14666,0,1,1,0,1,0,5,3,9,-1,-1,1.4550044322182825,-0.12431625496043044,-0.45996947919577463,0.19349807046086756,11
16096,1,1,1,0,1,0,5,5,1,-1,-1,0.3033751365645114,0.48075337934351664,-0.7966753918030385,-0.533685011003553,9
17474,1,1,1,0,1,0,5,5,9,-1,-1,-0.2841908306057799,0.15660893239497356,-0.044038645975037025,0.2973813678129276,21
2023,0,1,1,0,0,0,5,4,9,-1,-1,-1.083280545957376,-0.6789634197390486,-0.7966753918030385,-0.533685011003553,29
2001,0,0,1,0,1,0,5,3,9,-1,-1,0.08010006903980073,2.4400264808991547,1.4513317306042814,-0.533685011003553,29
14267,0,1,1,0,1,1,5,1,0,-1,-1,-0.3899527046964323,-0.009064896045392904,-0.5887099751926697,0.05498700732478744,29
3947,1,1,1,0,1,1,5,5,9,-1,-1,-0.17842895651512744,-0.009064896045392904,0.005476929408384123,0.4532063138410178,26
17530,0,0,0,0,0,0,0,0,0,-1,-1,-1.083280545957376,-0.563712060824011,-0.7273535862662488,-0.412487830759483,7
6896,0,1,1,0,1,1,5,5,9,-1,-1,-0.060915763081069184,0.5239726389366557,0.9363697466167017,0.5224618454090578,21
9185,0,1,1,0,1,1,3,4,9,-1,-1,-0.9657673525233178,-0.988701446823212,-0.5887099751926697,-0.481743362327523,25
10391,0,0,0,0,1,0,0,0,0,-1,-1,0.45614228802878715,-0.5348992210952517,-0.7966753918030385,-0.533685011003553,19
9116,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-0.9959046567554019,-0.6184193204227223,-0.481743362327523,25
17747,1,1,1,0,0,0,4,4,5,1,1,-1.083280545957376,-0.4484607019089735,-0.7669660465729857,-0.49905724521953304,21
9796,0,1,1,0,1,0,5,3,9,-1,-1,-0.8012488817156362,0.4951597992078963,-0.2718102927387743,-0.533685011003553,21
15747,0,1,1,0,1,1,5,4,5,-1,-1,-0.060915763081069184,-0.13151946489262029,0.3124734967855952,0.712914557221168,29
9883,0,0,0,0,1,0,0,0,0,-1,-1,0.2093645818172648,0.1926249820559228,0.24315169124880562,3.32731087391468,5
14418,0,0,1,0,1,1,5,5,9,-1,-1,-0.7424922849986071,-0.06669057550291167,0.8373385958498594,-0.533685011003553,11
9323,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-1.0031078666875917,-0.6184193204227223,-0.481743362327523,25
17182,0,0,1,0,1,1,0,1,5,-1,-1,0.45614228802878715,-0.6717602098068588,-0.6976442410361962,-0.49905724521953304,24
10154,0,1,1,0,1,0,5,5,1,-1,-1,-0.9187620751496944,-0.16753551455356952,-0.6184193204227223,0.05498700732478744,26
13669,0,0,0,0,0,0,5,0,0,-1,-1,-0.7072383269683896,0.019747943683366482,-0.7966753918030385,-0.533685011003553,22
6448,0,1,1,0,1,1,5,0,0,-1,-1,0.45614228802878715,-0.801417988586276,-0.6976442410361962,-0.49905724521953304,24
8716,1,0,0,0,1,1,0,0,0,-1,-1,1.4432531128748765,-0.6501505800102892,-0.7966753918030385,-0.533685011003553,11
15853,1,1,1,0,1,1,5,5,9,3,3,-0.5074658981304906,0.2862667111743908,0.3322797269389637,0.5224618454090578,5
17015,0,1,1,0,1,0,5,0,9,-1,-1,-0.5074658981304906,-0.7509955190609471,0.5897607189327536,-0.39517394786747295,1
12073,0,0,0,0,1,1,0,1,5,-1,-1,0.45614228802878715,-0.7581987289931369,-0.6481286656527749,-0.49905724521953304,24
7282,0,1,1,0,1,1,3,4,9,-1,-1,-0.9657673525233178,-0.9742950269588323,-0.5887099751926697,-0.481743362327523,25
16242,0,0,1,0,0,0,5,0,0,-1,-1,-0.7072383269683896,-0.3620221827226954,-0.7966753918030385,-0.533685011003553,22
8678,1,1,1,0,1,1,5,3,9,1,1,3.029681224234663,1.0354005441221348,-0.41045390381235347,1.2842726926574985,3
11693,1,0,0,0,1,0,0,0,0,-1,-1,-0.4604606207568673,0.012544733751176635,1.8375532185949666,0.9379950348172982,16
10477,1,1,1,0,1,1,5,4,0,-1,-1,0.15060798510023568,-0.9598886070944526,-0.5391943998092484,-0.533685011003553,21
6908,0,1,0,0,1,1,5,5,0,-1,-1,-1.083280545957376,-0.5781184806883908,-0.41045390381235347,0.07230089021679745,1
6716,0,0,1,0,1,1,3,0,9,-1,-1,-0.9657673525233178,-1.0031078666875917,-0.6184193204227223,-0.481743362327523,25
14603,1,1,1,0,1,1,4,4,1,-1,-1,1.6077715836825581,-0.24677082380765783,0.005476929408384123,0.19349807046086756,7
6335,0,1,1,0,0,1,3,0,0,-1,-1,1.2199780453501659,-1.0535303362129207,0.23324857617212139,-0.533685011003553,11
10160,0,1,1,0,1,0,4,4,5,-1,-1,-0.072667082424475,-0.7365890991965673,-0.05394176105172125,-0.533685011003553,23
16535,0,1,1,0,1,0,5,0,0,-1,-1,1.078962213229296,0.07737362314088525,-0.44016324904240617,-0.3086045334074229,21
7315,0,1,1,0,1,1,2,2,5,-1,-1,0.2446185398474823,0.2718602913100111,-0.4203570188890377,0.33200913359694767,7
14322,0,0,0,0,0,0,5,0,0,-1,-1,-0.7072383269683896,0.09178004300526495,-0.7966753918030385,-0.533685011003553,16
11300,0,0,0,0,1,0,0,0,0,-1,-1,-0.072667082424475,-1.0391239163485408,-0.15297291181856354,-0.533685011003553,11
6661,0,0,1,0,1,0,5,4,0,-1,-1,2.230591508883067,-0.12431625496043044,-0.7966753918030385,-0.533685011003553,8
8872,1,1,1,0,1,0,5,4,5,0,3,-0.5897251335343313,0.2214378217846822,-0.7966753918030385,-0.533685011003553,5
14479,1,1,1,0,1,1,5,3,8,2,2,2.829908795396764,1.3955610407316272,0.867047941079912,1.0245644492773482,27
17085,0,0,1,0,1,1,5,5,1,-1,-1,0.6089094394930629,0.5888015283263643,0.4511171078591744,0.31469525070493765,14
16556,0,0,0,0,0,1,0,0,0,-1,-1,-1.083280545957376,0.35829881049628926,-0.5292912847325643,-0.44711559654350297,9
9865,0,1,1,0,1,1,5,3,0,-1,-1,0.31512645590791727,0.6392239978516933,0.24315169124880562,0.3839507822729777,29
5537,0,1,1,0,1,0,5,5,9,-1,-1,-0.19018027585853325,0.034154363547746175,-0.044038645975037025,2.85983603583041,28
3514,0,1,1,0,0,0,5,5,9,-1,-1,-1.083280545957376,1.7125022777479804,0.20353923094206872,0.764856205897198,19
4290,0,0,0,0,1,0,0,0,0,-1,-1,1.1729727679765425,-0.7942147786540862,1.6592971472146503,-0.533685011003553,24
8200,0,1,1,0,0,0,5,4,5,2,2,-1.083280545957376,0.8048978262920597,-0.7966753918030385,-0.3432322991914429,27
11773,1,1,1,0,1,0,5,4,9,-1,-1,0.6089094394930629,-0.6069313204171501,-0.5788068601159854,0.26275360202890763,29
